gene_symbol_a	clone_id_a	gene_symbol_b	clone_id_b	category	aa_seq_pct_identity	PDI_Jaccard_d	PPI_Jaccard_d	activation_abs_fold_change_log2
ZNF302	ZNF302-3	ZNF688	ZNF688-2	paralogs	16.079295154185022			
FEZF1	FEZF1-1	ZBTB25	ZBTB25-1	paralogs	13.60759493670886			
ZBTB25	ZBTB25-1	ZNF280D	ZNF280D-2	paralogs	6.978798586572437			
ZBTB25	ZBTB25-1	ZBTB49	ZBTB49-1	paralogs	17.884130982367758			
ZBTB25	ZBTB25-1	ZBTB7B	ZBTB7B-2	paralogs	18.072289156626507			
TBX15	TBX15-1	TBX22	TBX22-2	paralogs	42.09702660406886			
TBX15	TBX15-1	TBX6	TBX6-2	paralogs	27.44186046511628	1.0		
TBX15	TBX15-1	TBX18	TBX18-3	paralogs	53.4668721109399	1.0		
CREB1	CREB1-2	CREM	CREM-1	paralogs	52.72206303724928	1.0		5.3785090680442975
PATZ1	PATZ1-1	ZBTB16	ZBTB16-1	paralogs	19.421965317919074		0.5	0.7333696585856369
PATZ1	PATZ1-1	ZNF451	ZNF451-2	paralogs	9.765051395007342		1.0	1.8487207482834964
PATZ1	PATZ1-1	ZNF143	ZNF143-1	paralogs	18.881987577639748		0.6666666666666667	3.838205404063513
PATZ1	PATZ1-1	ZBTB18	ZBTB18-1	paralogs	16.304347826086953		1.0	0.7676210516027773
PATZ1	PATZ1-1	ZNF692	ZNF692-1	paralogs	15.964240102171138			1.706504954497956
PATZ1	PATZ1-1	ZNF148	ZNF148-1	paralogs	11.83431952662722			0.17080591616437735
PATZ1	PATZ1-1	ZNF410	ZNF410-1	paralogs	18.995929443690642			2.343764160025178
MAZ	MAZ-2	PATZ1	PATZ1-1	paralogs	21.21588089330025			0.8325630159516968
PATZ1	PATZ1-1	ZBTB1	ZBTB1-1	paralogs	15.638297872340427			2.7690846685251658
PATZ1	PATZ1-1	ZNF276	ZNF276-1	paralogs	17.053364269141532			1.8236691140874488
SOX10	SOX10-1	SOX5	SOX5-1	paralogs	10.073452256033578			1.236499318513847
SOX10	SOX10-1	SOX15	SOX15-1	paralogs	15.151515151515152			2.0765000901256867
SOX10	SOX10-1	SOX6	SOX6-3	paralogs	9.08203125			
HNF4A	HNF4A-1	RXRA	RXRA-1	paralogs	28.26475849731664			
HNF4A	HNF4A-1	RXRG	RXRG-1	paralogs	26.34315424610052			
HNF4A	HNF4A-1	NR2F2	NR2F2-1	paralogs	25.830258302583022		1.0	
HNF4A	HNF4A-1	RXRB	RXRB-1	paralogs	23.25227963525836			
GATA1	GATA1-1	GATA2	GATA2-2	paralogs	35.984848484848484			5.672925457337136
GATA1	GATA1-1	GATA3	GATA3-1	paralogs	33.91472868217054	1.0		
NFAT5	NFAT5-1	NFATC1	NFATC1-1	paralogs	14.15577032404775	1.0		6.15797177097913
CTCF	CTCF-1	ZNF747	ZNF747-1	paralogs	10.150375939849624			2.6467802209414404
CTCF	CTCF-1	ZBTB48	ZBTB48-1	paralogs	19.818799546998868			1.7565438675475389
CTCF	CTCF-1	ZNF473	ZNF473-1	paralogs	17.771084337349393			4.182589750493493
CTCF	CTCF-1	ZBTB24	ZBTB24-1	paralogs	19.953863898500575			3.2864952525719686
CTCF	CTCF-1	ZNF688	ZNF688-2	paralogs	7.568238213399504			2.3626936669481435
ZNF131	ZNF131-2	ZNF174	ZNF174-1	paralogs	13.750000000000002			7.640131741989935
OVOL1	OVOL1-1	ZNF174	ZNF174-1	paralogs	12.164948453608249			1.6292028334210786
ZNF174	ZNF174-1	ZSCAN18	ZSCAN18-2	paralogs	24.12523020257827			4.355565701875385
PLAGL1	PLAGL1-1	ZNF174	ZNF174-1	paralogs	6.027397260273973	1.0		2.345823354111942
ZNF174	ZNF174-1	ZNF18	ZNF18-2	paralogs	29.84293193717277	1.0		3.565268271472457
ZNF174	ZNF174-1	ZSCAN32	ZSCAN32-1	paralogs	25.0			1.8579720327619584
MAZ	MAZ-2	ZBTB16	ZBTB16-1	paralogs	15.496688741721856			0.09919335736605994
MAZ	MAZ-2	ZNF451	ZNF451-2	paralogs	7.750631844987363			1.0161577323317996
MAZ	MAZ-2	ZNF143	ZNF143-1	paralogs	15.151515151515152	1.0		4.67076842001521
MAZ	MAZ-2	ZBTB18	ZBTB18-1	paralogs	12.039660056657224			0.06494196434891952
MAZ	MAZ-2	ZNF692	ZNF692-1	paralogs	19.967532467532468			0.8739419385462592
MAZ	MAZ-2	ZNF148	ZNF148-1	paralogs	9.746192893401014			0.6617570997873194
MAZ	MAZ-2	ZNF410	ZNF410-1	paralogs	19.17808219178082			3.1763271759768754
MAZ	MAZ-2	ZBTB1	ZBTB1-1	paralogs	8.58085808580858			1.936521652573469
MAZ	MAZ-2	ZNF276	ZNF276-1	paralogs	11.41732283464567			0.9911060981357518
ZNF418	ZNF418-1	ZNF419	ZNF419-1	paralogs	36.51226158038147			
ZNF419	ZNF419-1	ZNF772	ZNF772-4	paralogs	40.53097345132744			
ZNF419	ZNF419-1	ZNF548	ZNF548-1	paralogs	42.56756756756757			
ZNF419	ZNF419-1	ZNF549	ZNF549-1	paralogs	36.99851411589896			
E4F1	E4F1-1	ZNF419	ZNF419-1	paralogs	18.030842230130485			
ZNF419	ZNF419-1	ZNF79	ZNF79-1	paralogs	43.19852941176471			
ZNF419	ZNF419-1	ZNF691	ZNF691-1	paralogs	24.22480620155039			
MEIS2	MEIS2-1	MEIS3	MEIS3-4	paralogs	54.47154471544715			
MEIS3	MEIS3-4	PKNOX1	PKNOX1-1	paralogs	31.020408163265305	1.0		
MEIS3	MEIS3-4	TGIF1	TGIF1-3	paralogs	9.108527131782946	1.0		4.2531973904066165
MEIS1	MEIS1-1	MEIS3	MEIS3-4	paralogs	64.75			
MEIS3	MEIS3-4	PBX1	PBX1-1	paralogs	16.337522441651707			2.418419774954755
ZNF175	ZNF175-1	ZNF26	ZNF26-1	paralogs	35.57422969187675			0.7874774427301074
ZNF175	ZNF175-1	ZNF655	ZNF655-2	paralogs	23.841961852861036			0.3809094443504156
ZNF175	ZNF175-1	ZNF460	ZNF460-1	paralogs	31.1050477489768			
ZNF175	ZNF175-1	ZNF607	ZNF607-1	paralogs	33.50253807106599			0.9350819372818318
ZNF175	ZNF175-1	ZNF85	ZNF85-2	paralogs	39.3854748603352			1.2117336823854008
ZNF175	ZNF175-1	ZNF544	ZNF544-1	paralogs	36.38709677419355			0.18651975608712726
ZNF175	ZNF175-1	ZNF254	ZNF254-1	paralogs	38.584779706275036			
ZNF175	ZNF175-1	ZNF3	ZNF3-1	paralogs	28.04878048780488			
ZNF175	ZNF175-1	ZNF250	ZNF250-1	paralogs	36.43835616438356			1.6209750947040191
ZIM2	ZIM2-1	ZNF175	ZNF175-1	paralogs	16.225546605293438			
ZNF175	ZNF175-1	ZNF696	ZNF696-1	paralogs	20.0			
ZNF175	ZNF175-1	ZNF829	ZNF829-1	paralogs	31.01529902642559			
ZNF175	ZNF175-1	ZNF415	ZNF415-2	paralogs	35.172413793103445			0.14528060896505354
ZNF175	ZNF175-1	ZNF483	ZNF483-1	paralogs	29.3241695303551			0.5222143689093685
ZNF138	ZNF138-2	ZNF175	ZNF175-1	paralogs	20.47685834502104			0.40895774329572604
ZNF175	ZNF175-1	ZNF718	ZNF718-1	paralogs	31.460674157303373			
ZFP1	ZFP1-2	ZNF175	ZNF175-1	paralogs	27.91666666666667			0.697208696393881
ZNF12	ZNF12-1	ZNF175	ZNF175-1	paralogs	40.100882723833536			0.45618256438628296
ZNF175	ZNF175-1	ZNF320	ZNF320-1	paralogs	32.432432432432435			0.24746229390318966
ZNF175	ZNF175-1	ZNF317	ZNF317-1	paralogs	32.5706594885599			
ZNF175	ZNF175-1	ZNF23	ZNF23-2	paralogs	40.240641711229955			0.9039709078007928
ETV2	ETV2-2	FLI1	FLI1-1	paralogs	20.309477756286267	1.0		
ERF	ERF-1	ETV2	ETV2-2	paralogs	7.702349869451697			
ETV2	ETV2-2	ETV4	ETV4-1	paralogs	20.76923076923077			
ELF5	ELF5-2	ETV2	ETV2-2	paralogs	17.5			
ELK3	ELK3-1	ETV2	ETV2-2	paralogs	7.5500770416024645	1.0		
ETV2	ETV2-2	ETV6	ETV6-1	paralogs	14.981949458483756			
ELK4	ELK4-1	ETV2	ETV2-2	paralogs	7.87518573551263			
ETV2	ETV2-2	SPIB	SPIB-2	paralogs	19.329896907216497			
ETV2	ETV2-2	SPDEF	SPDEF-2	paralogs	22.71604938271605			
ELF2	ELF2-2	ETV2	ETV2-2	paralogs	13.423831070889895			
ERF	ERF-1	FLI1	FLI1-1	paralogs	10.121951219512196			
ERF	ERF-1	ETV4	ETV4-1	paralogs	6.958473625140293			
ELF5	ELF5-2	ERF	ERF-1	paralogs	6.0171919770773625			
ELK3	ELK3-1	ERF	ERF-1	paralogs	17.424242424242426			
ERF	ERF-1	ETV6	ETV6-1	paralogs	5.154639175257731			
ELK4	ELK4-1	ERF	ERF-1	paralogs	22.98657718120805			
ERF	ERF-1	SPIB	SPIB-2	paralogs	5.611510791366906			
ERF	ERF-1	SPDEF	SPDEF-2	paralogs	6.209573091849936			
ELF2	ELF2-2	ERF	ERF-1	paralogs	14.569536423841061			
ZNF26	ZNF26-1	ZNF85	ZNF85-2	paralogs	41.27243066884176			1.999211125115508
ZNF655	ZNF655-2	ZNF85	ZNF85-2	paralogs	28.6634460547504			
ZNF460	ZNF460-1	ZNF85	ZNF85-2	paralogs	38.796992481203006			
ZNF607	ZNF607-1	ZNF85	ZNF85-2	paralogs	39.18367346938776			2.1468156196672328
ZNF544	ZNF544-1	ZNF85	ZNF85-2	paralogs	36.933333333333344			1.3982534384725283
ZNF254	ZNF254-1	ZNF85	ZNF85-2	paralogs	67.27272727272727			
ZNF3	ZNF3-1	ZNF85	ZNF85-2	paralogs	31.78294573643411			
ZNF250	ZNF250-1	ZNF85	ZNF85-2	paralogs	45.67699836867864			
ZIM2	ZIM2-1	ZNF85	ZNF85-2	paralogs	17.897371714643302			
ZNF696	ZNF696-1	ZNF85	ZNF85-2	paralogs	24.271844660194176			
ZNF829	ZNF829-1	ZNF85	ZNF85-2	paralogs	37.32057416267943			
ZNF415	ZNF415-2	ZNF85	ZNF85-2	paralogs	43.31723027375201			1.3570142913504544
ZNF483	ZNF483-1	ZNF85	ZNF85-2	paralogs	33.92405063291139			
ZNF138	ZNF138-2	ZNF85	ZNF85-2	paralogs	40.33613445378151			
ZNF718	ZNF718-1	ZNF85	ZNF85-2	paralogs	51.42857142857142			
ZFP1	ZFP1-2	ZNF85	ZNF85-2	paralogs	29.51907131011609			
ZNF12	ZNF12-1	ZNF85	ZNF85-2	paralogs	41.56028368794326			
ZNF320	ZNF320-1	ZNF85	ZNF85-2	paralogs	42.92682926829269			0.9642713884822112
ZNF317	ZNF317-1	ZNF85	ZNF85-2	paralogs	38.29787234042553			
ZNF23	ZNF23-2	ZNF85	ZNF85-2	paralogs	42.397660818713454			
DLX4	DLX4-1	DLX5	DLX5-1	paralogs	31.21019108280255	1.0		
DLX1	DLX1-1	DLX5	DLX5-1	paralogs	34.153846153846146	0.6666666666666667		1.499950425688661
MITF	MITF-2	TFEC	TFEC-1	paralogs	35.781544256120526			1.6921980801248866
ZKSCAN1	ZKSCAN1-1	ZKSCAN3	ZKSCAN3-2	paralogs	39.285714285714285			1.3596467786914843
ZKSCAN1	ZKSCAN1-1	ZSCAN21	ZSCAN21-1	paralogs	38.24561403508772			1.1988710711478765
ZKSCAN1	ZKSCAN1-1	ZNF24	ZNF24-1	paralogs	32.286212914485176		0.0	
ZKSCAN1	ZKSCAN1-1	ZNF75A	ZNF75A-1	paralogs	19.584055459272093			
ZKSCAN1	ZKSCAN1-1	ZSCAN25	ZSCAN25-1	paralogs	36.650082918739635			1.0823708828751772
ZKSCAN1	ZKSCAN1-1	ZSCAN9	ZSCAN9-1	paralogs	35.75221238938053		0.33333333333333337	
ZKSCAN1	ZKSCAN1-1	ZNF397	ZNF397-2	paralogs	42.21854304635762		0.5	
ZKSCAN1	ZKSCAN1-1	ZNF394	ZNF394-1	paralogs	34.277198211624444		0.5	
ZKSCAN1	ZKSCAN1-1	ZNF449	ZNF449-1	paralogs	33.22784810126582			
ZKSCAN1	ZKSCAN1-1	ZSCAN26	ZSCAN26-1	paralogs	35.973597359735976			1.2564229386830776
ZKSCAN1	ZKSCAN1-1	ZNF232	ZNF232-1	paralogs	34.78260869565217			
PAX4	PAX4-2	PAX8	PAX8-2	paralogs	26.719056974459725			
PAX4	PAX4-2	PRRX1	PRRX1-2	paralogs	20.43010752688172	1.0		
OTX2	OTX2-2	PAX4	PAX4-2	paralogs	13.808463251670377			
PAX4	PAX4-2	PAX5	PAX5-1	paralogs	30.493273542600893	1.0		
LHX6	LHX6-1	LHX9	LHX9-1	paralogs	25.101214574898787		0.75	0.3353418595882012
LHX6	LHX6-1	LHX8	LHX8-2	paralogs	51.24999999999999		0.5	
GATA2	GATA2-2	GATA3	GATA3-1	paralogs	61.885245901639344			
EBF1	EBF1-1	EBF3	EBF3-2	paralogs	83.33333333333334			2.0622965300736618
EBF2	EBF2-1	EBF3	EBF3-2	paralogs	81.10918544194108			
DLX1	DLX1-1	DLX4	DLX4-1	paralogs	41.7910447761194	0.6666666666666667		
ELF2	ELF2-2	FLI1	FLI1-1	paralogs	14.60055096418733	1.0		0.3300697519475899
ELF2	ELF2-2	ETV4	ETV4-1	paralogs	12.919896640826874			0.11874681255671238
ELF2	ELF2-2	ELF5	ELF5-2	paralogs	11.624203821656053			
ELF2	ELF2-2	ELK3	ELK3-1	paralogs	16.84370257966616	1.0		2.1951140917048653
ELF2	ELF2-2	ETV6	ETV6-1	paralogs	12.598425196850393		1.0	
ELF2	ELF2-2	ELK4	ELK4-1	paralogs	14.606741573033707			4.6689445673215415
ELF2	ELF2-2	SPIB	SPIB-2	paralogs	12.857142857142856			0.2309418793112705
ELF2	ELF2-2	SPDEF	SPDEF-2	paralogs	12.573964497041421			0.1703808564772289
ZBTB16	ZBTB16-1	ZNF451	ZNF451-2	paralogs	13.256006628003314			1.1153510896978596
